,0
0,Illam
1,Pachthar
2,Taplejung
3,Sankhuwasabha
4,Sholukhumbu
5,Terthum
6,Morang
7,Sunsari
8,Dhankuta
9,Saptari
10,Udayapur
11,Bhojpur
12,Khotang
13,Solukhumbu
14,Okhaldunga
15,Siraha
16,Dhanusha
17,Mahottari
18,Sindhuli
19,Ramechhap
20,Dolakha
21,Sindhupalchow
22,Kavre
23,Bhaktapur
24,Kathmandu
25,Lalitpur
26,Makawanpur
27,Sarlahi
28,Bara
29,Rautahat
30,Parsa
31,Dhangadi
32,Nuwakot
33,Rasuwa
34,Gorkha
35,Chitwan
36,Nawalpur
37,Parsai
38,Rupandehi
39,Palpa
40,Syanja
41,Tanahu
42,Lamjung
43,Kaski
44,Manang
45,Mustang
46,Myagdi
47,Baglung
48,Parbat
49,Gulmi
50,Argakhachi
51,Kapilvastu
52,Dang
53,Pyuthan
54,Rolpa
55,East rukum
56,West rukum
57,Salyan
58,Banke
59,Bardiya
60,Kailali
61,Kanchanpur
62,Dadeldhura
63,Baitadi
64,Darchula
65,Bajhang
66,Dailekh
67,Surkhet
68,Jajarkot
69,Jumla
70,Mugu
71,Humla
72,Bajura
